'So there are a lot to see .',I
'So there is a lot to see .',C
'My son have diarrhea',I
'My son has diarrhea',C
'And if the team win 8 games , the team will get first position .',I
'And if the team wins 8 games , the team will get first position .',C
'He always make his own theory about life !',I
'He always makes his own theory about life !',C
'Additionally , the first team get to travel to New York !',I
'Additionally , the first team gets to travel to New York !',C
'Everyone who joined this class were very good .',I
'Everyone who joined this class was very good .',C
'I think that 's why Japanese is shy .',I
'I think that 's why Japanese are shy .',C
'And sometime people says `` U .',I
'And sometime people say `` U .',C
'My trade rely on the two basic forms of analysis : fundamental analysis and the technical analysis .',I
'My trade relies on the two basic forms of analysis : fundamental analysis and the technical analysis .',C
'Thechnical analysis use the charts as the objects .',I
'Thechnical analysis uses the charts as the objects .',C
'I think he live in my house . . .',I
'I think he lives in my house . . .',C
'is getting better',I
'are getting better',C
'I hope that my city also prepare bicycle 's roads for safety .',I
'I hope that my city also prepares bicycle 's roads for safety .',C
'My complexion are getting better compared to other seasons .',I
'My complexion is getting better compared to other seasons .',C
'And apart from them , my father and younger brother also is in the prefecture .',I
'And apart from them , my father and younger brother also are in the prefecture .',C
'She usually say : `` I 'm so tired ! ! ``',I
'She usually says : `` I 'm so tired ! ! ``',C
'Two months has passed since I came here .',I
'Two months have passed since I came here .',C
'My family go to library every other week .',I
'My family goes to library every other week .',C
'About half of the people I saw walking down the streets was Asian .',I
'About half of the people I saw walking down the streets were Asian .',C
'It taste thick .',I
'It tastes thick .',C
'I guess there is many tourists .',I
'I guess there are many tourists .',C
'I think a woman who fight with someone is very cool !',I
'I think a woman who fights with someone is very cool !',C
'There have been some good news in my family .',I
'There has been some good news in my family .',C
'It will be four , if Dad get into college next year .',I
'It will be four , if Dad gets into college next year .',C
'Is there any clothes that fit me . . ?',I
'Are there any clothes that fit me . . ?',C
'Yesterday , I were playing with my friends .',I
'Yesterday , I was playing with my friends .',C
'On the one hand , numbers create a good atmosphere , and on the other hand , no sooner scream the first person than everyone in the same place get excited .',I
'On the one hand , numbers create a good atmosphere , and on the other hand , no sooner scream the first person than everyone in the same place gets excited .',C
'Now JAPAN fall into serious crisis ! !',I
'Now JAPAN falls into serious crisis ! !',C
'But my grandfather live in Fukushima .',I
'But my grandfather lives in Fukushima .',C
'This weather be called plum rains season .',I
'This weather is called plum rains season .',C
'Playing tennis is so fun and relieve my stress .',I
'Playing tennis is so fun and relieves my stress .',C
'This word apply to me .',I
'This word applies to me .',C
'I think reading those problems increase my contentment with what I have .',I
'I think reading those problems increases my contentment with what I have .',C
'( Sorry this is not a beautiful story ! ) They prescribed some medicine for her , and things has been getting better .',I
'( Sorry this is not a beautiful story ! ) They prescribed some medicine for her , and things have been getting better .',C
'Both of them has been dead for a few years .',I
'Both of them have been dead for a few years .',C
'The book always show me how to solve a slump .',I
'The book always shows me how to solve a slump .',C
'It have been dangerous to walk outside , so the university had already closed classes today .',I
'It has been dangerous to walk outside , so the university had already closed classes today .',C
'Later on , I noticed our tickets was worth $ 350 .',I
'Later on , I noticed our tickets were worth $ 350 .',C
'I know he use paper everyday .',I
'I know he uses paper everyday .',C
'She sleep too late .',I
'She sleeps too late .',C
'It increase my confidence very much .',I
'It increases my confidence very much .',C
'According to NPR , the stock Bud owned was so few ( only 4 % ) that they could n't keep themselves .',I
'According to NPR , the stock Bud owned were so few ( only 4 % ) that they could n't keep themselves .',C
'Another point of view : all kinds ( types ? ) of relationships is based on it .',I
'Another point of view : all kinds ( types ? ) of relationships are based on it .',C
'Our relationships is based on my love for soft and fluffy and his will to eat .',I
'Our relationships are based on my love for soft and fluffy and his will to eat .',C
'My hands get cold before other 's hands does , usually .',I
'My hands get cold before other 's hands do , usually .',C
'North Korea and China is very friendly',I
'North Korea and China are very friendly',C
'It have been raining today .',I
'It has been raining today .',C
'We was able to see many famous kinds of animals in Australia such as koalas , kangaroos , wombats , and so on .',I
'We were able to see many famous kinds of animals in Australia such as koalas , kangaroos , wombats , and so on .',C
'Since its about business , you ca n't rely on things that is risky .',I
'Since its about business , you ca n't rely on things that are risky .',C
'Children is not children anymore if they know how to behave and never make mistakes , I think .',I
'Children are not children anymore if they know how to behave and never make mistakes , I think .',C
'Her father do n't need her now .',I
'Her father does n't need her now .',C
'Is there anyone who want to Skype ?',I
'Is there anyone who wants to Skype ?',C
'This is one of my favorite quote from ' Poor dad and Rich dad ' .',I
'This is one of my favorite quotes from ' Poor dad and Rich dad ' .',C
'One of my bosses are a real trouble maker .',I
'One of my bosses is a real trouble maker .',C
'The TOEFL and TOEIC is commonly used to measure English proficiency .',I
'The TOEFL and TOEIC are commonly used to measure English proficiency .',C
'Our teacher are very strict but we all love him .',I
'Our teacher is very strict but we all love him .',C
'My hometown still have heavy snow .',I
'My hometown still has heavy snow .',C
'Your mother are searching for U !',I
'Your mother is searching for U !',C
'he said `` is there children ?',I
'he said `` Are there children ?',C
'My millitary service remain about 150days .',I
'My millitary service remains about 150days .',C
'SPI2 make me crazy . . .',I
'SPI2 makes me crazy . . .',C
'I have people who back me up , because they likes me .',I
'I have people who back me up , because they like me .',C
'OFX files provided by Japanese banks includes multi - byte characters , so I can not import my OFX files correctly .',I
'OFX files provided by Japanese banks include multi - byte characters , so I can not import my OFX files correctly .',C
'I hope they plans to provide them .',I
'I hope they plan to provide them .',C
'Is there any money management services you recommend ?',I
'Are there any money management services you recommend ?',C
'Some news are n't easy - to - understand .',I
'Some news is n't easy - to - understand .',C
